number	title	pageid	namespace	length	touched
326	Tout_le_foot_minute_par_minute	9306806		1526	20170215025159
327	Football_aux_îles_Marshall	9333187		1466	20170215025215
328	Prêt_(sport)	9365498		838	20170213061232
329	Meneur_de_jeu_(football)	9417956		2577	20170215025342
330	Liste_des_plus_grands_stades_en_France	9437106		87972	20170213022048
331	Liste_de_stades_de_football_en_Écosse	9450888		15978	20170213022148
332	Meilleur_footballeur_tunisien_de_l'année	9474995		1608	20170213061417
333	Olive_et_Tom,_champions_de_foot_(chanson)	9560683		2351	20170210224817
334	Meilleur_footballeur_du_championnat_d'Écosse_SFWA	9634080		15923	20170213024540
335	Coupe_du_monde_de_footgolf	9680837		5906	20170215025718
336	European_Footgolf_Trophy_Tour	9688959		4146	20170213061810
337	Championnat_de_France_de_footgolf	9689624		5216	20170213061811
338	Simulation_(sport)	9835512		2924	20170213025946
339	Voetbal_International	9947668		689	20170213062308
340	Contre-attaque_(sport_collectif)	9994927		6500	20170213030905
341	Football_à_la_télévision_en_France	10006060		97178	20170213030940
342	Liste_des_stades_de_football_belges	10052587		10535	20170215030216
343	Victory_International	10061531		12984	20170213031315
344	Footballeur_islandais_de_l'année	10095048		12326	20170213031532
345	Football_bulle	10095363		761	20170213062614
346	Records_et_statistiques_de_la_Ligue_des_champions_de_l'UEFA	10123365		112323	20170213031733
347	Football_en_Autriche-Hongrie	10125018		6087	20170215030309
348	Championnat_du_monde_de_football_virtuel	10147395		133798	20170214165949
349	Groupama_OL_Training_Center	10309965		2116	20170213063046
350	Football_médiéval	10359553		40347	20170213033413
351	Statistiques_et_records_de_l'équipe_du_Portugal_de_football	10469768		28534	20170214165339
352	Ligue_nationale_de_football_professionnel_(Gabon)	10503027		1238	20170215035011
353	Doyen_Sports_Investments_Limited	10508599		23800	20170215030741
354	Centre_de_formation_du_Stade_Malherbe_Caen	10585754		10484	20170215113037
355	Tragédie_du_stade_du_4-Janvier	10642873		7021	20170215082616
