number	title	pageid	namespace	length	touched
463	Siri_(logiciel)	5779955		13314	20170213221157
464	Peter_Norvig	5800626		3618	20170214224033
465	Andrew_Ng	5805103		2692	20170214224033
466	SyNAPSE	5815025		1549	20170212231630
467	Algorithme_d'apprentissage_incrémental	5820420		4127	20170212231647
468	Moshe_Vardi	5825670		6105	20170214224033
469	Classification_bayésienne_naïve_aléatoire	5828289		1009	20170213045616
470	Pénalisation_(optimisation)	5883608		16036	20170212232311
471	Apprentissage_PAC	5924016		2166	20170215021044
472	Yann_Le_Cun	5966393		6183	20170214224033
473	Transfert_de_connaissances	5970524		18629	20170212232759
474	Brouillard_utilitaire	6031389		5043	20170212233016
475	Human_Brain_Project	6038110		12412	20170215021344
476	Couverture_de_Markov	6052219		2006	20170213050344
477	Information_Processing_Language	6070254		1893	20170213050352
478	Raj_Reddy	6096714		983	20170214224033
479	Base_de_faits	6100221		823	20170116172207
480	Dispositif_haptique	6119143		1818	20170213050504
481	Simulation_à_événements_discrets	6140952		13691	20170215042431
482	Système_de_classeurs	6151823		5123	20170213050607
483	Festival_de_robotique	6238156		5926	20170127060216
484	Yoav_Freund	6251995		1807	20170215021621
485	Robert_Schapire	6259601		1523	20170215021623
486	Joshua_Blue	6263675		674	20170213050746
487	Association_for_the_Advancement_of_Artificial_Intelligence	6275298		1543	20170213050822
488	Profil_caché	6280063		1189	20170116173752
489	Geometrical_analysis_for_interactive_aid	6284610		1205	20170213050826
490	Algorithme_Anytime	6309260		3410	20170131233029
491	Méthode_de_Lucas–Kanade	6348275		6156	20170127060719
492	Technotise_(film)	6362139		3448	20170215021746
493	Mesh_de_navigation	6365953		1061	20170213051039
494	European_Conference_on_Computer_Vision	6387584		3207	20170213051155
495	Méthode_mathématique_d'analyse_multicritère	6393195		38833	20170131233029
496	Karen_Spärck_Jones	6461718		3511	20170214224033
497	Allocation_de_Dirichlet_latente	6498949		1957	20170213051508
498	Michael_Jordan_(informaticien)	6498976		791	20170214224033
499	Knowledge_Graph	6500158		4596	20170215022022
500	David_Blei	6500328		1493	20170215022022
501	Topic_model	6500349		901	20170213051510
502	Dilemme_cornélien	6507513		4936	20170119144447
503	Réseau_bayésien_dynamique	6532573		6553	20170212235154
504	Risque_de_ruine	6534976		7261	20170212235156
505	Ruine_du_joueur	6534983		731	20170128232046
506	Robotique_en_essaim	6639675		17031	20170215022131
507	Roboticien	6650997		1307	20170213051806
508	Histoire_de_l'intelligence_artificielle	6665052		113308	20170215022139
509	Google_Now	6683474		4029	20170213051833
510	Ingénierie_cognitive	6689694		600	20170116181836
511	Chaînage_arrière	6696965		6048	20170212235546
512	Eigenface	6714775		1013	20170212235603
513	Frank_Rosenblatt	6721534		3639	20170214224033
514	Machine_Intelligence_Research_Institute	6733700		2251	20170131233029
515	Apprentissage_basé_sur_l'explication	6745102		8752	20170212235705
516	Webots	6797453		9593	20170212235859
517	Drap_brownien	6833644		1258	20170116182849
518	Algorithme_de_Busacker_et_Gowen	6904839		6399	20170213000331
519	Réseau_intelligent	6905681		9983	20170213000332
520	Système_d'argumentation	6918679		17373	20170213000402
521	Cobotique	6923306		20515	20170213000420
522	Igor_Aleksander	6947735		3098	20170215022437
523	James_F._Allen	6947774		1260	20170215022437
524	Ronald_C._Arkin	6947967		1779	20170215022437
525	Christopher_G._Atkeson	6947982		1517	20170215022437
